open_time,high_kg,low_kg,close_kg,high_oz,low_oz,close_oz,ret
2020-08-06,56232.33,51194.84,52514.53,1749.02,1592.34,1633.38,0.012275655309322175
2020-09-05,53513.59,51009.24,52207.59,1664.46,1586.56,1623.84,-0.04834707436164254
2020-10-05,52618.25,51120.89,52330.87,1636.61,1590.04,1627.67,-0.016732153371063374
2020-11-04,53126.3,47359.9,48712.28,1652.41,1473.06,1515.12,0.009654102076854132
2020-12-04,50304.91,48146.16,49971.94,1564.66,1497.51,1554.3,-0.053104253786893096
2021-01-03,51168.28,47973.32,49487.41,1591.51,1492.14,1539.23,0.017160277632201293
2021-02-02,49604.01,45388.5,45647.02,1542.86,1411.74,1419.78,-0.03056845385828555
2021-03-04,47518.83,45385.43,47357.44,1478.0,1411.64,1472.98,-0.04203881103923879
2021-04-03,48119.98,46551.7,47291.93,1496.7,1447.92,1470.94,0.012652232746955372
2021-05-03,50379.04,47258.78,49971.09,1566.96,1469.91,1554.27,0.04694327520545194
2021-06-02,50317.3,47357.72,48193.48,1565.04,1472.99,1498.98,-0.0012253024965538373
2021-07-02,49881.46,48178.09,49131.09,1551.49,1498.51,1528.15,-0.008657925676021083
2021-08-01,49657.58,46195.1,49346.8,1544.52,1436.83,1534.86,-0.004492455639417581
2021-08-31,49606.17,47593.3,47914.13,1542.92,1480.32,1490.3,-0.0010359205448940978
2021-09-30,50131.17,47859.46,49611.6,1559.25,1488.6,1543.09,0.010583828066264012
2021-10-30,53168.77,48879.69,51119.24,1653.73,1520.33,1589.99,0.06059323392656735
2021-11-29,51671.56,50004.87,51344.29,1607.17,1555.33,1596.99,-0.028154535504586575
2021-12-29,52812.15,50662.67,51848.15,1642.64,1575.79,1612.66,0.022069849486986426
2022-01-28,56850.28,50405.31,53923.49,1768.24,1567.78,1677.21,0.07646228023182178
2022-02-27,61155.58,53923.49,56285.23,1902.15,1677.21,1750.67,0.0757306700447904
2022-03-29,59424.39,54631.38,57442.53,1848.31,1699.23,1786.66,-0.028304812974791704
2022-04-28,58546.76,55194.18,55526.71,1821.01,1716.73,1727.07,-0.014770249579345474
2022-05-28,57530.05,54829.25,55719.1,1789.38,1705.38,1733.06,-0.017369481771104978
2022-06-27,56392.35,52902.63,54535.28,1754.0,1645.46,1696.24,-0.01977221160401932
2022-07-27,56840.37,54299.35,56638.5,1767.93,1688.9,1761.65,0.007941847206385466
2022-08-26,56743.58,53399.95,54541.16,1764.92,1660.92,1696.42,-0.0017025560966780207
2022-09-25,56363.54,53241.98,53729.0,1753.1,1656.01,1671.16,-0.006697187407927907
2022-10-25,55687.15,52963.38,54080.96,1732.06,1647.35,1682.11,-0.01200159717072613
2022-11-24,55290.73,53384.49,54463.22,1719.73,1660.44,1694.0,-0.007118691038416669
2022-12-24,57417.82,54349.45,57035.47,1785.89,1690.46,1774.0,0.038471155355782605
2023-01-23,57401.35,54959.25,55407.78,1785.38,1709.42,1723.37,-0.0002855718997251122
2023-02-22,60617.3,54719.61,59094.0,1885.41,1701.97,1838.03,0.056027288308371226
2023-03-24,59962.56,57844.32,58045.36,1865.04,1799.16,1805.41,-0.010804016102598402
2023-04-23,60365.96,57618.97,58584.2,1877.59,1792.15,1822.17,0.0067290781967142
2023-05-23,59539.22,56537.49,56567.9,1851.88,1758.51,1759.46,-0.013693085284859796
2023-06-22,57181.92,55747.98,56688.0,1778.56,1733.96,1763.19,-0.0395921981985875
2023-07-22,57616.01,55771.88,55872.93,1792.06,1734.7,1737.84,0.007590410219503463
2023-08-21,58234.26,55673.47,58136.9,1811.29,1731.64,1808.26,0.01073066749997209
2023-09-20,60198.9,55366.81,60046.17,1872.4,1722.1,1867.64,0.033738385349668
2023-10-20,61150.14,57982.54,58341.47,1901.98,1803.46,1814.62,0.01579790643024981
2023-11-19,63271.88,57851.32,59682.35,1967.98,1799.38,1856.33,0.03470068034364182
2023-12-19,60774.65,59105.26,59358.8,1890.3,1838.38,1846.27,-0.039471945853108314
2024-01-18,61140.89,59211.98,60065.24,1901.69,1841.7,1868.24,0.006025498598106083
2024-02-17,64502.42,59919.83,63709.35,2006.25,1863.72,1981.58,0.05498267330637474
2024-03-18,73515.91,63364.91,72120.44,2286.6,1970.87,2243.2,0.1397383177570093
2024-04-17,73204.14,67973.57,70349.03,2276.9,2114.21,2188.1,-0.004242106183853678
2024-05-17,72398.47,68062.9,70060.06,2251.84,2116.99,2179.11,-0.011006192630330647
2024-06-16,71845.24,69047.64,71468.16,2234.64,2147.62,2222.91,-0.007638198095779591
2024-07-16,73481.83,69308.99,71519.44,2285.54,2155.75,2224.5,0.022777718111194778
2024-08-15,75011.47,71421.34,74851.06,2333.12,2221.45,2328.13,0.02081783736009868
2024-09-14,78259.46,73782.43,77948.4,2434.14,2294.89,2424.47,0.043298244410917563
2024-10-14,82882.58,77826.62,78705.69,2577.94,2420.68,2448.02,0.05907630621081794
2024-11-13,83849.34,77545.0,82287.08,2608.01,2411.92,2559.41,0.011664352157148894
2024-12-13,84699.37,80035.49,84416.34,2634.44,2489.38,2625.64,0.010134163595998391
2025-01-12,91189.84,83279.96,91065.75,2836.32,2590.3,2832.46,0.0766310866825588
2025-02-11,91848.96,85401.47,86778.63,2856.82,2656.28,2699.12,0.007227675297568625
2025-03-13,93597.87,86706.16,91573.34,2911.22,2696.86,2848.25,0.019042151763149162
2025-04-12,97592.09,90365.6,94128.62,3035.45,2810.68,2927.73,0.04267283132157651
2025-05-12,95762.3,89686.65,93545.33,2978.54,2789.57,2909.59,-0.018748455747912174
2025-06-11,96300.38,89099.61,91327.14,2995.28,2771.31,2840.59,0.005620203186796235
2025-07-11,94236.82,90745.66,93863.69,2931.09,2822.51,2919.49,-0.021430383803851427
2025-08-10,99769.34,91285.91,99307.72,3103.17,2839.31,3088.82,0.058708535050100874
2025-09-09,112503.29,98936.72,110940.74,3499.24,3077.28,3450.64,0.1276340000708951
2025-10-09,121008.23,107289.14,111186.39,3763.78,3337.07,3458.28,0.07559927298499125
2025-11-08,117419.35,110868.01,114325.78,3652.15,3448.38,3555.93,-0.029659013013513036
