open_time,close,open,high,low,ignored,ret
2002-09-29,800.6,827.4,851.9,794.1,"-3,24%",-0.005486808311930935
2002-10-06,835.3,800.6,843.3,768.6,"4,33%",-0.0100950815823454
2002-10-13,884.4,835.3,886.7,828.4,"5,88%",0.051464484762243634
2002-10-20,897.6,884.4,902.9,873.1,"1,49%",0.018269989850005608
2002-10-27,901.0,897.6,907.4,867.9,"0,38%",0.004983940635729267
2002-11-03,894.7,901.0,925.7,891.6,"-0,70%",0.02016751157152319
2002-11-10,909.8,894.7,910.2,872.0,"1,69%",-0.0167440855568759
2002-11-17,930.5,909.8,937.3,893.1,"2,28%",0.02977367611513948
2002-11-24,936.3,930.5,941.8,912.1,"0,62%",0.0048010242184999274
2002-12-01,912.2,936.3,954.3,896.0,"-2,57%",0.013272456997239335
2002-12-08,889.5,912.2,912.2,888.5,"-2,49%",-0.04411610604631655
2002-12-15,895.8,889.5,911.2,880.3,"0,71%",-0.0010962508221881162
2002-12-22,875.4,895.7,903.9,873.6,"-2,28%",-0.008011413520632171
2002-12-29,908.6,875.4,911.2,869.5,"3,79%",0.00807611461444857
2003-01-05,927.6,908.6,932.9,908.3,"2,09%",0.023814749780509237
2003-01-12,901.8,927.6,935.0,899.0,"-2,78%",0.0022510451280952637
2003-01-19,861.4,901.8,906.0,859.7,"-4,48%",-0.031016042780748654
2003-01-26,855.7,861.4,868.7,840.3,"-0,66%",-0.04116997792494481
2003-02-02,829.7,855.7,864.6,826.7,"-3,04%",-0.004719696097617132
2003-02-09,834.9,829.7,843.0,806.3,"0,63%",-0.024982650936849482
2003-02-16,848.2,834.9,852.9,831.5,"1,59%",0.011743772241992856
2003-02-23,841.1,848.2,848.2,818.5,"-0,84%",-0.005510610857075826
2003-03-02,828.9,841.1,852.3,811.2,"-1,45%",0.0048337656213155444
2003-03-09,833.3,828.9,841.4,788.9,"0,53%",-0.012788924087762554
2003-03-16,895.8,833.3,895.9,827.2,"7,50%",0.06477299738531017
2003-03-23,863.5,895.8,895.8,858.1,"-3,61%",-0.0001116196004018466
2003-03-30,878.9,863.5,885.9,843.7,"1,78%",-0.011051574012056253
2003-04-06,868.3,878.9,904.9,862.8,"-1,21%",0.021447115927305527
2003-04-13,893.6,868.3,896.8,868.3,"2,91%",-0.00895126533318602
2003-04-20,898.8,893.6,919.7,886.7,"0,58%",0.025535236396075023
2003-04-27,930.1,898.8,930.6,898.8,"3,48%",0.01185169076872894
