"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 18-Mar-2007",16417.02,15727.52,16407.21,,510.63,489.18,510.32,
"00:00:00 16-Feb-2007",16798.55,15483.66,15807.01,,522.49,481.60,491.65,
"00:00:00 17-Jan-2007",16582.75,15448.85,16360.02,,515.78,480.51,508.85,
"00:00:00 18-Dec-2006",15665.94,14930.24,15542.15,,487.27,464.38,483.41,
"00:00:00 18-Nov-2006",15766.95,15092.97,15144.31,,490.41,469.44,471.04,
"00:00:00 19-Oct-2006",15932.18,14714.19,15565.58,,495.55,457.66,484.14,
"00:00:00 19-Sep-2006",15375.84,14188.84,15195.23,,478.24,441.32,472.62,
"00:00:00 20-Aug-2006",16071.22,14475.84,14874.77,,499.87,450.25,462.66,
"00:00:00 21-Jul-2006",16509.06,15262.40,15356.45,,513.49,474.71,477.64,
"00:00:00 21-Jun-2006",17258.88,14533.47,15973.56,,536.81,452.04,496.83,
"00:00:00 22-May-2006",16858.33,13908.61,14788.27,,524.35,432.61,459.97,
"00:00:00 22-Apr-2006",18329.32,16068.69,16562.71,,570.11,499.79,515.16,
"00:00:00 23-Mar-2006",16806.57,14534.99,16508.23,,522.74,452.09,513.46,
